control_id,framework,domain,control_name,owner,test_frequency,evidence_required,status
CTRL-021,ISO 27001 / SOC 2,Secure Software Development Lifecycle,Application code is reviewed for security defects prior to production deployment.,Engineering,Monthly,Code review records and SAST/DAST scan results,Active
CTRL-022,ISO 27001 / SOC 2,Endpoint and Mobile Device Management,Workforce endpoints and mobile devices are enrolled in MDM with encryption and remote wipe capability.,IT Operations,Quarterly,MDM compliance report,Active
CTRL-023,ISO 27001 / SOC 2,Physical and Data Center Security,"Cloud provider and any physical facilities maintain access controls, surveillance, and environmental safeguards.",Cloud Infrastructure,Annual,Data center SOC 2 report and physical access log review,Active
CTRL-024,ISO 27001 / SOC 2,API Security and Rate Limiting,"APIs enforce authentication, authorization, input validation, and rate limiting to prevent abuse.",Engineering,Monthly,API gateway configuration export and abuse detection log,Active
CTRL-025,ISO 27001 / SOC 2,Cloud Shared Responsibility Management,Cloud provider security responsibilities are documented and periodically validated against the shared responsibility model.,Cloud Infrastructure,Semi-Annual,Cloud provider attestation review and responsibility matrix,Active
CTRL-026,ISO 27001 / SOC 2,Data Classification and Loss Prevention,Sensitive data is classified and monitored with DLP controls to prevent unauthorized exfiltration.,Security Operations,Quarterly,Data classification policy review and DLP alert summary,Active
CTRL-027,ISO 27001 / SOC 2,Fraud Monitoring and Transaction Controls,Transaction monitoring rules detect and flag potentially fraudulent account activity for review.,Security Operations,Monthly,Fraud rule tuning log and case disposition summary,Active
CTRL-028,ISO 27001 / SOC 2,AML and KYC Data Handling,Customer identity verification and AML screening data is handled according to regulatory retention and access requirements.,Legal Privacy,Quarterly,AML data handling review and access log export,Active
CTRL-029,ISO 27001 / SOC 2,Insider Threat Monitoring,User behavior analytics and access anomaly detection are used to identify potential insider risk.,Security Operations,Monthly,UBA alert review log,Active
CTRL-030,ISO 27001 / SOC 2,Capacity and Availability Management,System capacity is monitored and forecasted to maintain service availability under peak load.,Cloud Infrastructure,Quarterly,Capacity utilization report and scaling event log,Active
CTRL-031,ISO 27001 / SOC 2,Secure Remote Access,Remote workforce access is authenticated via VPN or zero-trust access with device posture checks.,IT Operations,Quarterly,Remote access log and device posture compliance report,Active
CTRL-032,ISO 27001 / SOC 2,Data Loss Prevention for Email and Endpoints,Outbound email and endpoint data transfers are scanned for sensitive data leakage.,Security Operations,Monthly,DLP incident report,Active
CTRL-033,ISO 27001 / SOC 2,Penetration Testing and Red Team Exercises,Independent penetration tests are performed against critical systems on a periodic basis.,Security Compliance,Annual,Penetration test report and remediation tracker,Active
CTRL-034,ISO 27001 / SOC 2,Secrets and Credential Management,Application secrets and service credentials are stored in a managed vault and rotated periodically.,Cloud Infrastructure,Quarterly,Secrets vault access report and rotation log,Active
CTRL-035,ISO 27001 / SOC 2,Container and Orchestration Security,Container images are scanned for vulnerabilities and orchestration platforms are hardened per baseline.,Cloud Infrastructure,Monthly,Container scan report and orchestration config review,Active
CTRL-036,ISO 27001 / SOC 2,Third-Party Software Bill of Materials Management,Open-source and third-party software components are inventoried and monitored for known vulnerabilities.,Engineering,Quarterly,SBOM export and vulnerability scan cross-reference,Active
CTRL-037,ISO 27001 / SOC 2,Data Residency and Cross-Border Transfer Controls,Data storage and processing locations are validated against residency commitments and cross-border transfer rules.,Legal Privacy,Semi-Annual,Data residency attestation and transfer mechanism review,Active
CTRL-038,ISO 27001 / SOC 2,Mobile Application Security,Mobile banking application releases undergo security testing prior to publication.,Engineering,Quarterly,Mobile app security test report,Active
CTRL-039,ISO 27001 / SOC 2,Email Authentication and Anti-Phishing Controls,"Email domains enforce SPF, DKIM, and DMARC, and inbound mail is scanned for phishing indicators.",IT Operations,Quarterly,Email authentication config report and phishing filter log,Active
CTRL-040,ISO 27001 / SOC 2,Disaster Recovery Planning,A documented disaster recovery plan defines recovery time and point objectives for critical systems.,Business Continuity,Semi-Annual,DR plan document and tabletop exercise summary,Active
CTRL-041,ISO 27001 / SOC 2,Segregation of Duties,Critical financial and administrative functions require dual control or segregation to prevent unilateral action.,Security Compliance,Annual,Segregation of duties matrix and exception log,Active
CTRL-042,ISO 27001 / SOC 2,Vulnerability Disclosure and Bug Bounty Program,External researchers can report vulnerabilities through a defined and monitored disclosure channel.,Security Compliance,Quarterly,Bug bounty submission log and triage summary,Active
CTRL-043,ISO 27001 / SOC 2,Open Banking and API Partner Governance,Third-party API consumers and open banking partners are validated and monitored for compliant data usage.,Security Compliance,Quarterly,Partner API access review and usage audit,Active
CTRL-044,ISO 27001 / SOC 2,Data Retention and Secure Disposal,Data is retained per policy and securely disposed of when retention periods expire.,Legal Privacy,Quarterly,Disposal certificate log and retention compliance report,Active
CTRL-045,ISO 27001 / SOC 2,Security Governance and Steering Committee,A cross-functional security steering committee reviews program performance and approves key decisions.,Executive Leadership,Quarterly,Steering committee meeting minutes,Active
CTRL-046,ISO 27001 / SOC 2,Model Risk Management for Fraud and Credit Models,"Automated decisioning models are validated, monitored for drift, and reviewed for bias.",Security Compliance,Semi-Annual,Model validation report and drift monitoring summary,Active
CTRL-047,ISO 27001 / SOC 2,Contractor and Third-Party Personnel Access,"Contractor and temporary personnel access is provisioned, time-boxed, and reviewed separately from employees.",IT Operations,Quarterly,Contractor access review report,Active
CTRL-048,ISO 27001 / SOC 2,Security Metrics and KPI Reporting,"Security and compliance KPIs are collected, tracked, and reported to leadership on a defined cadence.",Security Compliance,Monthly,KPI dashboard export and reporting log,Active
CTRL-049,ISO 27001 / SOC 2,Customer Authentication and Fraud Controls for Digital Channels,Digital banking channels enforce step-up authentication for high-risk transactions.,Engineering,Monthly,Step-up authentication trigger log,Active
CTRL-050,ISO 27001 / SOC 2,Data Backup Encryption and Integrity Verification,Backup data is encrypted at rest and integrity-checked to detect corruption or tampering.,Cloud Infrastructure,Quarterly,Backup encryption config and integrity check report,Active
CTRL-051,ISO 27001 / SOC 2,Regulatory Change Management,Regulatory developments across operating jurisdictions are tracked and translated into control or policy updates.,Legal Privacy,Quarterly,Regulatory tracking log and control change record,Active
CTRL-052,ISO 27001 / SOC 2,Employee Offboarding and Access Revocation,Departing employee access is revoked across all systems within a defined SLA of termination.,IT Operations,Monthly,Offboarding ticket sample and access revocation timestamp report,Active
CTRL-053,ISO 27001 / SOC 2,Threat Intelligence Integration,External threat intelligence feeds are integrated into monitoring to improve detection of known threat indicators.,Security Operations,Monthly,Threat intel feed integration log and IOC match report,Active
CTRL-054,ISO 27001 / SOC 2,Data Subject Rights Fulfillment Controls,"Systems support timely search, extraction, and deletion of personal data to fulfill privacy rights requests.",Legal Privacy,Quarterly,DSAR fulfillment system capability review,Active
CTRL-055,ISO 27001 / SOC 2,Cloud Cost and Resource Governance,"Cloud resource provisioning is governed by tagging, budget, and approval controls to prevent shadow IT.",Cloud Infrastructure,Quarterly,Resource tagging compliance report and budget exception log,Active
CTRL-056,ISO 27001 / SOC 2,Customer Notification and Breach Communication,A defined process governs timely customer and regulator notification in the event of a confirmed data breach.,Legal Privacy,Annual,Breach notification runbook and tabletop exercise record,Active
CTRL-057,ISO 27001 / SOC 2,Encryption in Transit Enforcement,All data transmitted between systems and to customers is encrypted using approved TLS configurations.,Cloud Infrastructure,Quarterly,TLS configuration scan report,Active
CTRL-058,ISO 27001 / SOC 2,Security Awareness for Executives and Board Reporting,Executives and board members receive tailored security briefings to support governance oversight.,Security Compliance,Semi-Annual,Board security briefing deck and attendance record,Active
CTRL-059,ISO 27001 / SOC 2,Data Minimization in Product Design,New product and feature designs are reviewed to ensure only necessary personal data is collected and processed.,Legal Privacy,Quarterly,Privacy-by-design review checklist sample,Active
CTRL-060,ISO 27001 / SOC 2,Incident Response Tabletop Exercises,Simulated incident response exercises validate readiness and identify process gaps across teams.,Security Compliance,Semi-Annual,Tabletop exercise report and after-action items,Active
CTRL-061,ISO 27001 / SOC 2,SaaS Application Security Posture Management,SaaS application configurations are continuously monitored for security misconfigurations.,IT Operations,Monthly,SaaS security posture scan report,Active
CTRL-062,ISO 27001 / SOC 2,Data Encryption Key Access Restriction,Access to encryption key management systems is restricted to authorized personnel with logged approval.,Cloud Infrastructure,Quarterly,KMS access control review,Active
CTRL-063,ISO 27001 / SOC 2,Vendor Offboarding and Data Return/Destruction,Terminated vendor relationships include verified data return or destruction and access revocation.,Procurement,Quarterly,Vendor offboarding checklist and destruction certificate,Active
CTRL-064,ISO 27001 / SOC 2,Application Logging Standards Compliance,"Application logs conform to defined standards for content, retention, and tamper resistance.",Engineering,Quarterly,Log standard compliance sample review,Active
CTRL-065,ISO 27001 / SOC 2,Privileged Session Recording,Sessions using privileged or administrative access to production systems are recorded for audit purposes.,Security Operations,Monthly,Session recording coverage report,Active
CTRL-066,ISO 27001 / SOC 2,Data Anonymization and Pseudonymization for Analytics,Data used for analytics and testing is anonymized or pseudonymized to reduce privacy risk.,Product Analytics,Quarterly,Anonymization technique validation report,Active
